InstanceType,AvailabilityZone,OnDemandPrice,PerfTtbarTotal,EstSTCD5,DeadlineMiss,ExecTimeRatio
m3.2xlarge,us-west-2a,0.532,0.110884,0.128093078,0,1
m3.2xlarge,us-west-2b,0.532,0.110884,0.139545028,0,1
m3.2xlarge,us-west-2c,0.532,0.110884,0.128163807,0,1
m3.2xlarge,us-west-1a,0.532,0.110884,0.14249299,0,1.015774738
m3.2xlarge,us-west-1c,0.532,0.110884,0.152128371,0,1.03849961
m3.2xlarge,us-east-1b,0.532,0.110884,0.151076789,0,1.026683679
m3.2xlarge,us-east-1c,0.532,0.110884,0.144407362,0,1.021074241
m3.2xlarge,us-east-1d,0.532,0.110884,0.153898953,0,1.042632
m3.2xlarge,us-east-1e,0.532,0.110884,0.192820407,0,1.194899961
c3.2xlarge,us-west-2a,0.42,0.122327,0.19318821,0,1.070639893
c3.2xlarge,us-west-2b,0.42,0.122327,0.206012746,0,1.130735581
c3.2xlarge,us-west-2c,0.42,0.122327,0.184099374,0,1.046069054
c3.2xlarge,us-west-1a,0.42,0.122327,0.24846278,0,1.333289993
c3.2xlarge,us-west-1c,0.42,0.122327,0.201444373,0,1.105962573
c3.2xlarge,us-east-1b,0.42,0.122327,0.255840696,0,1.493499331
c3.2xlarge,us-east-1c,0.42,0.122327,0.268333668,0,1.545370315
c3.2xlarge,us-east-1d,0.42,0.122327,0.297073244,0.071787149,1.607295655
c3.2xlarge,us-east-1e,0.42,0.122327,0.287589775,0.236445783,1.268242916
m3.xlarge,us-west-2a,0.266,0.0557008,0.13665616,0,1.002588967
m3.xlarge,us-west-2b,0.266,0.0557008,0.13344815,0,1
m3.xlarge,us-west-2c,0.266,0.0557008,0.140486598,0,1.014356063
m3.xlarge,us-west-1a,0.266,0.0557008,0.13762206,0,1.015058735
m3.xlarge,us-west-1c,0.266,0.0557008,0.127165591,0,1.00323678
m3.xlarge,us-east-1b,0.266,0.0557008,0.189901571,0,1.285782491
m3.xlarge,us-east-1c,0.266,0.0557008,0.165007064,0,1.071008618
m3.xlarge,us-east-1d,0.266,0.0557008,0.188214788,0,1.324565596
m3.xlarge,us-east-1e,0.266,0.0557008,0.206468409,0,1.391751952
c3.xlarge,us-west-2a,0.21,0.0611244,0.201374887,0,1.104294958
c3.xlarge,us-west-2b,0.21,0.0611244,0.194468055,0,1.047911005
c3.xlarge,us-west-2c,0.21,0.0611244,0.178628753,0,1.021015506
c3.xlarge,us-west-1a,0.21,0.0611244,0.201004924,0,1.060392542
c3.xlarge,us-west-1c,0.21,0.0611244,0.208973704,0,1.072955851
c3.xlarge,us-east-1b,0.21,0.0611244,0.211344738,0,1.204507753
c3.xlarge,us-east-1c,0.21,0.0611244,0.208433018,0,1.156505048
c3.xlarge,us-east-1d,0.21,0.0611244,0.200284232,0,1.112914854
c3.xlarge,us-east-1e,0.21,0.0611244,0.305599593,0,1.705355561
c4.xlarge,us-west-2a,0.22,0.0913176,0.220785711,0,1.216307731
c4.xlarge,us-west-2b,0.22,0.0913176,0.226418994,0,1.246369896
c4.xlarge,us-west-2c,0.22,0.0913176,0.294205381,0.126506024,1.470712824
c4.xlarge,us-west-1a,0.22,0.0913176,0.169958682,0.012550201,1.031901272
c4.xlarge,us-west-1c,0.22,0.0913176,0.261550433,0.046686747,1.345025658
m4.xlarge,us-west-2a,0.252,0.0805878,0.114204568,0,1
m4.xlarge,us-west-2b,0.252,0.0805878,0.12628486,0,1.00519146
m4.xlarge,us-west-2c,0.252,0.0805878,0.132385813,0,1.005684795
m4.xlarge,us-west-1a,0.252,0.0805878,0.120721656,0,1.013834951
m4.xlarge,us-west-1c,0.252,0.0805878,0.117817859,0,1.006274403
c4.2xlarge,us-west-2a,0.441,0.1809626,0.203422305,0,1.155721413
c4.2xlarge,us-west-2b,0.441,0.1809626,0.186423924,0,1.070920069
c4.2xlarge,us-west-2c,0.441,0.1809626,0.211680213,0.005522088,1.308025602
c4.2xlarge,us-west-1a,0.441,0.1809626,0.200946348,0,1.12501018
c4.2xlarge,us-west-1c,0.441,0.1809626,0.192388716,0,1.107583975
m4.2xlarge,us-west-2a,0.504,0.1530297,0.133841754,0,1.003888889
